PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23477980","Vasopressin for the treatment of neonatal hypotension","Beaulieu MJ.","Neonatal Netw. 2013 Mar-Apr;32(2):120-4. doi: 10.1891/0730-0832.32.2.120.","Beaulieu MJ","Neonatal Netw","2013","2013/03/13","","","10.1891/0730-0832.32.2.120"
"28452098","Impact of bradycardia or asystole on neonatal cardiopulmonary resuscitation at birth","Kumar VH, Skrobacz A, Ma C.","Pediatr Int. 2017 Aug;59(8):891-897. doi: 10.1111/ped.13310. Epub 2017 Jul 9.","Kumar VH","Pediatr Int","2017","2017/04/29","","","10.1111/ped.13310"
"22876900","Vasoactive compounds in the neonatal period","Toth-Heyn P, Cataldi L.","Curr Med Chem. 2012;19(27):4633-9. doi: 10.2174/092986712803306330.","Toth-Heyn P","Curr Med Chem","2012","2012/08/11","","","10.2174/092986712803306330"
"29772353","Cardiac Profile of Chimeric Antigen Receptor T Cell Therapy in Children: A Single-Institution Experience","Burstein DS, Maude S, Grupp S, Griffis H, Rossano J, Lin K.","Biol Blood Marrow Transplant. 2018 Aug;24(8):1590-1595. doi: 10.1016/j.bbmt.2018.05.014. Epub 2018 May 14.","Burstein DS","Biol Blood Marrow Transplant","2018","2018/05/18","","","10.1016/j.bbmt.2018.05.014"
"28953494","The Effect of Prophylactic Phenylephrine and Ephedrine Infusions on Umbilical Artery Blood pH in Women With Preeclampsia Undergoing Cesarean Delivery With Spinal Anesthesia: A Randomized, Double-Blind Trial","Higgins N, Fitzgerald PC, van Dyk D, Dyer RA, Rodriguez N, McCarthy RJ, Wong CA.","Anesth Analg. 2018 Jun;126(6):1999-2006. doi: 10.1213/ANE.0000000000002524.","Higgins N","Anesth Analg","2018","2017/09/28","","","10.1213/ANE.0000000000002524"
"27964765","Arginine-vasopressin therapy in hypotensive neonates and infants after cardiac surgery: response is unrelated to baseline ventricular function","Iliopoulos I, Flores S, Pratap JN, Cooper DS, Cassedy A, Nelson DP.","Cardiol Young. 2017 Aug;27(6):1031-1040. doi: 10.1017/S104795111600189X. Epub 2016 Dec 14.","Iliopoulos I","Cardiol Young","2017","2016/12/15","","","10.1017/S104795111600189X"
"21231849","Apopitotic effects of dopamine and dobutamine on neutrophils of premature neonates","Aslan Y, Koca L, Mutlu M, Tekelioglu Y, Erduran E.","J Matern Fetal Neonatal Med. 2011 Sep;24(9):1155-8. doi: 10.3109/14767058.2010.545914. Epub 2011 Jan 13.","Aslan Y","J Matern Fetal Neonatal Med","2011","2011/01/15","","","10.3109/14767058.2010.545914"
"30187692","ACE inhibition for severe bronchopulmonary dysplasia - an approach based on physiology","Sehgal A, Krishnamurthy MB, Clark M, Menahem S.","Physiol Rep. 2018 Sep;6(17):e13821. doi: 10.14814/phy2.13821.","Sehgal A","Physiol Rep","2018","2018/09/07","PMC6125606","","10.14814/phy2.13821"
"25072477","Comparative effectiveness of digoxin and propranolol for supraventricular tachycardia in infants","Hornik CP, Chu PY, Li JS, Clark RH, Smith PB, Hill KD.","Pediatr Crit Care Med. 2014 Nov;15(9):839-45. doi: 10.1097/PCC.0000000000000229.","Hornik CP","Pediatr Crit Care Med","2014","2014/07/30","PMC4221410","NIHMS617477","10.1097/PCC.0000000000000229"
"27170932","Should dopamine be the first line inotrope in the treatment of neonatal hypotension? Review of the evidence","Bhayat SI, Gowda HM, Eisenhut M.","World J Clin Pediatr. 2016 May 8;5(2):212-22. doi: 10.5409/wjcp.v5.i2.212. eCollection 2016 May 8.","Bhayat SI","World J Clin Pediatr","2016","2016/05/13","PMC4857235","","10.5409/wjcp.v5.i2.212"
"29520867","Randomised double-blind comparison of bolus phenylephrine or ephedrine for treatment of hypotension in women with pre-eclampsia undergoing caesarean section","Mohta M, Duggal S, Chilkoti GT.","Anaesthesia. 2018 Jul;73(7):839-846. doi: 10.1111/anae.14268. Epub 2018 Mar 9.","Mohta M","Anaesthesia","2018","2018/03/10","","","10.1111/anae.14268"
"30523408","Crystalloid coloading vs. colloid coloading in elective Caesarean section: postspinal hypotension and vasopressor consumption, a prospective, observational clinical trial","Kaufner L, Karekla A, Henkelmann A, Welfle S, von Weizsäcker K, Hellmeyer L, von Heymann C.","J Anesth. 2019 Feb;33(1):40-49. doi: 10.1007/s00540-018-2581-x. Epub 2018 Dec 6.","Kaufner L","J Anesth","2019","2018/12/08","","","10.1007/s00540-018-2581-x"
"18782787","Fenoldopam in newborn patients undergoing cardiopulmonary bypass: controlled clinical trial","Ricci Z, Stazi GV, Di Chiara L, Morelli S, Vitale V, Giorni C, Ronco C, Picardo S.","Interact Cardiovasc Thorac Surg. 2008 Dec;7(6):1049-53. doi: 10.1510/icvts.2008.185025. Epub 2008 Sep 9.","Ricci Z","Interact Cardiovasc Thorac Surg","2008","2008/09/11","","","10.1510/icvts.2008.185025"
"28750269","A comparative analysis of ante- and postnatal clinical characteristics of extremely premature neonates suffering from refractory and non-refractory hypotension: Is early clinical differentiation possible?","Verma RP, Dasnadi S, Zhao Y, Chen HH.","Early Hum Dev. 2017 Oct;113:49-54. doi: 10.1016/j.earlhumdev.2017.07.010. Epub 2017 Jul 24.","Verma RP","Early Hum Dev","2017","2017/07/28","","","10.1016/j.earlhumdev.2017.07.010"
"24420987","Oral sildenafil and inhaled iloprost in the treatment of pulmonary hypertension of the newborn","Kahveci H, Yilmaz O, Avsar UZ, Ciftel M, Kilic O, Laloglu F, Ozturk K.","Pediatr Pulmonol. 2014 Dec;49(12):1205-13. doi: 10.1002/ppul.22985. Epub 2014 Jan 14.","Kahveci H","Pediatr Pulmonol","2014","2014/01/15","","","10.1002/ppul.22985"
"25641242","Vasopressin versus dopamine for treatment of hypotension in extremely low birth weight infants: a randomized, blinded pilot study","Rios DR, Kaiser JR.","J Pediatr. 2015 Apr;166(4):850-5. doi: 10.1016/j.jpeds.2014.12.027. Epub 2015 Jan 29.","Rios DR","J Pediatr","2015","2015/02/03","PMC4380753","NIHMS650402","10.1016/j.jpeds.2014.12.027"
"26890555","Response to dopamine in prematurity: a biomarker for brain injury?","Vesoulis ZA, Ters NE, Foster A, Trivedi SB, Liao SM, Mathur AM.","J Perinatol. 2016 Jun;36(6):453-8. doi: 10.1038/jp.2016.5. Epub 2016 Feb 18.","Vesoulis ZA","J Perinatol","2016","2016/02/19","PMC4882223","NIHMS750720","10.1038/jp.2016.5"
"23465406","Dopamine-resistant hypotension and severe retinopathy of prematurity","Catenacci M, Miyagi S, Wickremasinghe AC, Lucas SS, de Alba Campomanes AG, Good WV, Clyman RI.","J Pediatr. 2013 Aug;163(2):400-5. doi: 10.1016/j.jpeds.2013.01.054. Epub 2013 Mar 1.","Catenacci M","J Pediatr","2013","2013/03/08","PMC3676698","NIHMS440402","10.1016/j.jpeds.2013.01.054"
"28473717","Safety and tolerance of propranolol in neonates with severe infantile hemangiomas: a prospective study","Ji Y, Chen S, Xiang B, Yang Y, Qiu L.","Sci Rep. 2017 May 4;7(1):1503. doi: 10.1038/s41598-017-01321-2.","Ji Y","Sci Rep","2017","2017/05/06","PMC5431448","","10.1038/s41598-017-01321-2"
"29516473","Provision of respiratory support compared to no respiratory support before cord clamping for preterm infants","Meyer MP, Nevill E, Wong MM.","Cochrane Database Syst Rev. 2018 Mar 8;3(3):CD012491. doi: 10.1002/14651858.CD012491.pub2.","Meyer MP","Cochrane Database Syst Rev","2018","2018/03/09","PMC6494179","","10.1002/14651858.CD012491.pub2"
"12137696","Dopamine for prevention of morbidity and mortality in term newborn infants with suspected perinatal asphyxia","Hunt R, Osborn D.","Cochrane Database Syst Rev. 2002;(3):CD003484. doi: 10.1002/14651858.CD003484.","Hunt R","Cochrane Database Syst Rev","2002","2002/07/26","","","10.1002/14651858.CD003484"
"21424672","Haemodynamically unstable preterm infant: an unresolved management conundrum","Sehgal A.","Eur J Pediatr. 2011 Oct;170(10):1237-45. doi: 10.1007/s00431-011-1435-4. Epub 2011 Mar 22.","Sehgal A","Eur J Pediatr","2011","2011/03/23","","","10.1007/s00431-011-1435-4"
"28255987","A randomised double-blind trial of phenylephrine and metaraminol infusions for prevention of hypotension during spinal and combined spinal-epidural anaesthesia for elective caesarean section","McDonnell NJ, Paech MJ, Muchatuta NA, Hillyard S, Nathan EA.","Anaesthesia. 2017 May;72(5):609-617. doi: 10.1111/anae.13836. Epub 2017 Mar 3.","McDonnell NJ","Anaesthesia","2017","2017/03/04","","","10.1111/anae.13836"
"27766555","Safety and Efficacy of Terlipressin in Pediatric Distributive Shock: A Retrospective Analysis in 20 Children","Michel J, Hofbeck M, Spiller G, Renk H, Kumpf M, Neunhoeffer F.","Paediatr Drugs. 2017 Feb;19(1):35-41. doi: 10.1007/s40272-016-0199-8.","Michel J","Paediatr Drugs","2017","2016/10/22","","","10.1007/s40272-016-0199-8"
"18822428","Randomized trial of milrinone versus placebo for prevention of low systemic blood flow in very preterm infants","Paradisis M, Evans N, Kluckow M, Osborn D.","J Pediatr. 2009 Feb;154(2):189-95. doi: 10.1016/j.jpeds.2008.07.059. Epub 2008 Sep 25.","Paradisis M","J Pediatr","2009","2008/09/30","","","10.1016/j.jpeds.2008.07.059"
"25365246","Efficacy and safety of umbilical cord milking at birth: a systematic review and meta-analysis","Al-Wassia H, Shah PS.","JAMA Pediatr. 2015 Jan;169(1):18-25. doi: 10.1001/jamapediatrics.2014.1906.","Al-Wassia H","JAMA Pediatr","2015","2014/11/04","","","10.1001/jamapediatrics.2014.1906"
"30049724","Blood pressure intervention levels in preterm infants: pilot randomised trial","Pereira SS, Sinha AK, Morris JK, Wertheim DF, Shah DK, Kempley ST.","Arch Dis Child Fetal Neonatal Ed. 2019 May;104(3):F298-F305. doi: 10.1136/archdischild-2017-314159. Epub 2018 Jul 26.","Pereira SS","Arch Dis Child Fetal Neonatal Ed","2019","2018/07/28","","","10.1136/archdischild-2017-314159"
"22868531","Risk and protective factors of intraventricular hemorrhage in preterm babies in Wuhan, China","Rong Z, Liu H, Xia S, Chang L.","Childs Nerv Syst. 2012 Dec;28(12):2077-84. doi: 10.1007/s00381-012-1875-9. Epub 2012 Aug 7.","Rong Z","Childs Nerv Syst","2012","2012/08/08","","","10.1007/s00381-012-1875-9"
"19793209","Low-dose vasopressin infusion therapy for refractory hypotension in ELBW infants","Ikegami H, Funato M, Tamai H, Wada H, Nabetani M, Nishihara M.","Pediatr Int. 2010 Jun;52(3):368-73. doi: 10.1111/j.1442-200X.2009.02967.x. Epub 2009 Sep 28.","Ikegami H","Pediatr Int","2010","2009/10/02","","","10.1111/j.1442-200X.2009.02967.x"
"24139558","[Hydrocortisone for the treatment of refractory hypotension: a randomized controlled trial]","Salas G, Travaglianti M, Leone A, Couceiro C, Rodríguez S, Fariña D.","An Pediatr (Barc). 2014 Jun;80(6):387-93. doi: 10.1016/j.anpedi.2013.08.004. Epub 2013 Oct 16.","Salas G","An Pediatr (Barc)","2014","2013/10/22","","","10.1016/j.anpedi.2013.08.004"
"19162468","ED95 of phenylephrine to prevent spinal-induced hypotension and/or nausea at elective cesarean delivery","Tanaka M, Balki M, Parkes RK, Carvalho JC.","Int J Obstet Anesth. 2009 Apr;18(2):125-30. doi: 10.1016/j.ijoa.2008.09.008. Epub 2009 Jan 21.","Tanaka M","Int J Obstet Anesth","2009","2009/01/24","","","10.1016/j.ijoa.2008.09.008"
"28899735","A randomised comparison of bolus phenylephrine and ephedrine for the management of spinal hypotension in patients with severe preeclampsia and fetal compromise","Dyer RA, Emmanuel A, Adams SC, Lombard CJ, Arcache MJ, Vorster A, Wong CA, Higgins N, Reed AR, James MF, Joolay Y, Schulein S, van Dyk D.","Int J Obstet Anesth. 2018 Feb;33:23-31. doi: 10.1016/j.ijoa.2017.08.001. Epub 2017 Aug 11.","Dyer RA","Int J Obstet Anesth","2018","2017/09/14","","","10.1016/j.ijoa.2017.08.001"
"22404887","Inotropes in preterm infants--evidence for and against","Cox DJ, Groves AM.","Acta Paediatr. 2012 Apr;101(464):17-23. doi: 10.1111/j.1651-2227.2011.02545.x.","Cox DJ","Acta Paediatr","2012","2012/03/13","","","10.1111/j.1651-2227.2011.02545.x"
"8276025","Randomized trial comparing dopamine and dobutamine in preterm infants","Greenough A, Emery EF.","Eur J Pediatr. 1993 Nov;152(11):925-7. doi: 10.1007/BF01957532.","Greenough A","Eur J Pediatr","1993","1993/11/01","","","10.1007/BF01957532"
"15935918","Diagnosis and treatment of preterm transitional circulatory compromise","Osborn DA.","Early Hum Dev. 2005 May;81(5):413-22. doi: 10.1016/j.earlhumdev.2005.03.009. Epub 2005 Apr 21.","Osborn DA","Early Hum Dev","2005","2005/06/07","","","10.1016/j.earlhumdev.2005.03.009"
"15882935","Diagnosis and treatment of neonatal hypotension outside the transitional period","Seri I, Noori S.","Early Hum Dev. 2005 May;81(5):405-11. doi: 10.1016/j.earlhumdev.2005.03.008.","Seri I","Early Hum Dev","2005","2005/05/11","","","10.1016/j.earlhumdev.2005.03.008"
"15495087","Anticonvulsants for neonates with seizures","Booth D, Evans DJ.","Cochrane Database Syst Rev. 2004 Oct 18;(4):CD004218. doi: 10.1002/14651858.CD004218.pub2.","Booth D","Cochrane Database Syst Rev","2004","2004/10/21","","","10.1002/14651858.CD004218.pub2"
"27687377","A randomized trial comparing prophylactic phenylephrine and ephedrine infusion during spinal anesthesia for emergency cesarean delivery in cases of acute fetal compromise","Jain K, Makkar JK, Subramani Vp S, Gander S, Kumar P.","J Clin Anesth. 2016 Nov;34:208-15. doi: 10.1016/j.jclinane.2016.03.015. Epub 2016 May 12.","Jain K","J Clin Anesth","2016","2016/10/01","","","10.1016/j.jclinane.2016.03.015"
